姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
农科所智慧社区服务_站点,合计金额:,3206.88,快递金额:, 3165.66,干洗金额:, 41.22,,,,,,,,,,,,,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 19:51:52,,2,,,8.00,,4.08,51% ,2,1917547426636161024,极兔快递,JT0016360646609,食品,黑龙江省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 19:48:48,,1,,,6.00,,2.80,6-3.2,2,1917546652539609088,极兔快递,JT0016361512089,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 19:47:19,,1,,,6.00,,2.80,6-3.2,2,1917546257767522304,极兔快递,JT0016362726223,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 19:46:23,,1,,,6.00,,2.80,6-3.2,2,1917545971489497088,极兔快递,JT0016361069371,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 19:45:13,,1,,,6.00,,2.80,6-3.2,2,1917545740312043520,极兔快递,JT0016360045778,服饰,福建省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 19:44:09,,1,,,6.00,,2.80,6-3.2,2,1917545472472178688,极兔快递,JT0016361824924,服饰,福建省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 19:41:05,,1,,,6.00,,2.80,6-3.2,2,1917544708689420288,极兔快递,JT0016362815011,服饰,福建省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 19:37:03,,1,,,6.00,,2.80,6-3.2,2,1917543694125031424,极兔快递,JT0016362403888,服饰,福建省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 19:35:55,,1,,,6.00,,2.80,6-3.2,2,1917543408593592320,极兔快递,JT0016358611645,服饰,福建省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 19:32:59,,3,,,10.00,,5.50,55% ,2,1917542673797668864,极兔快递,JT0016362269802,数码产品,陕西省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 19:11:01,,2,,,8.00,,4.08,51% ,2,1917537140919296000,极兔快递,JT0016356412402,数码产品,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 18:55:29,,1,,,6.00,,2.80,6-3.2,2,1917533219823869952,极兔快递,JT0016358541616,服饰,湖北省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 17:42:07,,1,,,6.00,,2.80,6-3.2,2,1917514767520292864,极兔快递,JT0016359488614,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 17:41:01,,1,,,6.00,,2.80,6-3.2,2,1917514480055279616,极兔快递,JT0016361014793,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 17:40:17,,1,,,6.00,,2.80,6-3.2,2,1917514225750433792,极兔快递,JT0016360284071,服饰,湖北省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 17:39:14,,1,,,6.00,,2.80,6-3.2,2,1917514042866196480,极兔快递,JT0016348386917,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 17:38:22,,1,,,7.00,,2.80,6-3.2,2,1917513826607882240,极兔快递,JT0016356905858,其他,上海市,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 17:32:30,,1,,,6.00,,2.80,6-3.2,2,1917512343401324544,极兔快递,JT0016357835124,服饰,湖北省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 17:31:14,,1,,,6.00,,2.80,6-3.2,2,1917512030694989824,极兔快递,JT0016361081021,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 17:29:54,,1,,,6.00,,2.80,6-3.2,2,1917511685231140864,极兔快递,JT0016353725591,服饰,湖北省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 17:28:54,,1,,,6.00,,2.80,6-3.2,2,1917511440438976512,极兔快递,JT0016360956968,服饰,江苏省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 17:27:58,,1,,,7.00,,2.80,6-3.2,2,1917511164860620800,极兔快递,JT0016360168065,服饰,上海市,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 16:56:55,,3,,,10.00,,5.50,55% ,2,1917503398007857152,韵达快递,312730586065171,其他,陕西省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 16:54:29,,1,,,6.00,,2.80,6-3.2,2,1917502774092554240,极兔快递,JT0016359086948,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 16:38:44,,1,,,6.00,,2.80,6-3.2,2,1917498822655533056,极兔快递,JT0016357473396,服饰,湖北省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 16:37:12,,1,,,6.00,,2.80,6-3.2,2,1917498354957082624,极兔快递,JT0016358777955,服饰,福建省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 16:34:44,,1,,,6.00,,2.80,6-3.2,2,1917497753305145344,极兔快递,JT0016359342640,服饰,山东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 16:33:53,,1,,,6.00,,2.80,6-3.2,2,1917497573856043008,极兔快递,JT0016359204962,服饰,陕西省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 16:32:40,,1,,,6.00,,2.80,6-3.2,2,1917497288995692544,极兔快递,JT0016359317720,服饰,陕西省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 15:27:56,,1,,,6.00,,2.80,6-3.2,2,1917481003440201728,极兔快递,JT0016342177867,服饰,江苏省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 15:26:29,,1,,,6.00,,2.80,6-3.2,2,1917480575268872192,极兔快递,JT0016356454676,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 15:25:20,,1,,,6.00,,2.80,6-3.2,2,1917480348801622016,极兔快递,JT0016357390425,服饰,浙江省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 15:03:41,,0.6,,,6.00,,2.80,6-3.2,2,1917474896042844160,极兔快递,JT0016347763131,服饰,湖南省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-30 12:25:50,,1,,,7.00,,2.80,6-3.2,2,1917435159206748160,极兔快递,JT0016351258335,服饰,上海市,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 21:46:35,,15,13.93,1,45.00,16.50,22.50,50% ,2,1917213904243318784,极兔快递,JT0016345070265,服饰,陕西省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 21:32:24,,1,0.25,0,6.00,0.00,2.80,6-3.2,2,1917210241072422912,极兔快递,JT0016342818830,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 21:31:13,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1917209968388136960,极兔快递,JT0016343959454,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 21:27:37,,1,0.49,0,6.00,0.00,2.80,6-3.2,2,1917209131112783872,极兔快递,JT0016337447711,服饰,浙江省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 21:24:46,,1,0.52,0,6.00,0.00,2.80,6-3.2,2,1917208406072811520,极兔快递,JT0016345856875,服饰,浙江省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 21:23:40,,1,0.53,0,6.00,0.00,2.80,6-3.2,2,1917208121438953472,极兔快递,JT0016332179759,服饰,浙江省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 21:22:23,,1,0.26,0,6.00,0.00,2.80,6-3.2,2,1917207744983392256,极兔快递,JT0016344413551,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 19:52:45,,2,1.44,0,8.00,0.00,4.08,51% ,2,1917185246497660928,极兔快递,JT0016344409910,食品,陕西省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 19:15:50,,1,0.46,0,6.00,0.00,2.80,6-3.2,2,1917175965580845056,极兔快递,JT0016344760201,食品,河南省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 19:07:21,,1,0.62,0,6.00,0.00,2.80,6-3.2,2,1917173832341053440,极兔快递,JT0016345045839,服饰,河北省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 18:42:03,,1,0.4,0,6.00,0.00,2.80,6-3.2,2,1917167464976539648,极兔快递,JT0016344041344,服饰,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 18:40:48,,1,0.32,0,6.00,0.00,2.80,6-3.2,2,1917167150630232064,极兔快递,JT0016343459310,服饰,江苏省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 17:44:13,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1917152830773059584,极兔快递,JT0016341831140,服饰,浙江省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 17:37:03,,1,0.86,0,6.00,0.00,2.80,6-3.2,2,1917151102120026112,极兔快递,JT0016333014159,服饰,浙江省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 17:28:26,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1917148935401299968,极兔快递,JT0016338123494,服饰,吉林省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 17:24:41,,4,3.45,0,12.00,1.50,6.00,50% ,2,1917147989757714432,极兔快递,JT0016336184105,食品,广东省,
农科所智慧社区服务_站点-农科所智慧社区服务站点,农科所智慧社区服务站点,农科所智慧社区服务站点,快递,2025-04-29 16:57:19,,1,1.43,-1,6.00,0.00,2.80,6-3.2,2,1917141104560234496,极兔快递,JT0016340395653,服饰,浙江省,
