姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
凯泽智慧社区团寄快递_站点,合计金额:,3444.28,快递金额:, 3085.81,干洗金额:, 358.47,,,,,,,,,,,,,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 22:51:22,,1,,,6.00,,2.80,6-3.2,1,1917592600103936000,极兔快递,JT0016358821272,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 22:50:01,,1,,,6.00,,2.80,6-3.2,1,1917592256837902336,极兔快递,JT0016362428391,服饰,湖南省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 21:42:14,,1,,,6.00,,2.80,6-3.2,1,1917575190718242816,极兔快递,JT0016362393027,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 21:41:36,,1,,,6.00,,2.80,6-3.2,1,1917575030005096448,极兔快递,JT0016344599207,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 21:40:51,,1,,,6.00,,2.80,6-3.2,1,1917574847661924352,极兔快递,JT0016362437321,服饰,江苏省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 20:16:14,,1,,,6.00,,2.80,6-3.2,1,1917553558645694464,极兔快递,JT0016357538835,服饰,辽宁省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 20:09:02,,1,,,6.00,,2.80,6-3.2,1,1917551734261866496,极兔快递,JT0016357981449,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 20:08:19,,1,,,6.00,,2.80,6-3.2,1,1917551565344661504,极兔快递,JT0016355728854,服饰,河北省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 20:01:38,,2,,,7.00,,3.01,43% ,1,1917549881826533376,极兔快递,JT0016353039828,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 19:58:09,,1,,,6.00,,2.80,6-3.2,1,1917548993397448704,极兔快递,JT0016360057649,服饰,山东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 19:57:15,,1,,,6.00,,2.80,6-3.2,1,1917548782939856896,极兔快递,JT0016361763869,服饰,安徽省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 19:50:53,,1,,,6.00,,2.80,6-3.2,1,1917547178018791424,极兔快递,JT0016357085605,服饰,福建省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 19:49:33,,1,,,6.00,,2.80,6-3.2,1,1917546815307964416,极兔快递,JT0016360366787,服饰,安徽省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 19:35:34,,1,,,6.00,,2.80,6-3.2,1,1917543322035740672,极兔快递,JT0016361488220,生活用品,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 19:28:00,,1,,,6.00,,2.80,6-3.2,1,1917541413149270016,极兔快递,JT0016362446623,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 19:13:59,,1,,,6.00,,2.80,6-3.2,1,1917537892857339904,极兔快递,JT0016355609257,服饰,江苏省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,干洗,2025-04-30 18:40:06,,,,,9.90,,2.97,30%,,1917529363786293248,干洗,,"清洗鞋19.8元两双   *   1",,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,干洗,2025-04-30 18:38:31,,,,,9.90,,2.97,30%,,1917528961837752320,干洗,,"清洗鞋19.8元两双   *   1",,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 17:35:23,,1,,,6.00,,2.80,6-3.2,1,1917513078000115712,极兔快递,JT0016359072385,生活用品,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 17:28:37,,1,,,6.00,,2.80,6-3.2,1,1917511367336452096,极兔快递,JT0016351519910,服饰,山东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 17:27:34,,1,,,6.00,,2.80,6-3.2,1,1917511102856224768,极兔快递,JT0016359175842,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 17:26:31,,1,,,6.00,,2.80,6-3.2,1,1917510846466809856,极兔快递,JT0016360850382,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 16:55:25,,1,,,6.00,,2.80,6-3.2,1,1917503020491137024,极兔快递,JT0016345501945,服饰,河北省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 16:49:15,,2,,,15.00,,1.00,,,1917501470393819136,京东快递,JDVG03722518492,生活用品,陕西省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 16:39:02,,2,,,7.00,,3.01,43% ,1,1917498884441825280,极兔快递,JT0016349710039,生活用品,河北省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 16:11:12,,1,,,6.00,,2.80,6-3.2,1,1917491892209901568,极兔快递,JT0016358997499,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 15:27:16,,1,,,6.00,,2.80,6-3.2,1,1917480834363613184,极兔快递,JT0016357528078,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 14:27:42,,1,,,6.00,,2.80,6-3.2,1,1917465845317820416,极兔快递,JT0016353316071,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 14:13:42,,1,,,6.00,,2.80,6-3.2,1,1917462322542862336,极兔快递,JT0016354392334,服饰,福建省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 14:11:43,,1,,,6.00,,2.80,6-3.2,1,1917461821445169152,极兔快递,JT0016355904810,服饰,安徽省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 14:09:45,,1,,,6.00,,2.80,6-3.2,1,1917461325833625600,极兔快递,JT0016354531615,服饰,福建省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 12:56:34,,1,,,6.00,,2.80,6-3.2,1,1917442913518542848,极兔快递,JT0016352623216,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 10:53:29,,1,0.2,0,6.00,0.00,2.80,6-3.2,1,1917411937711087616,极兔快递,JT0016351676441,食品,河北省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 10:50:38,,1,0.2,0,6.00,0.00,2.80,6-3.2,1,1917411218207596544,极兔快递,JT0016351110885,生活用品,山东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 10:31:15,,1,0.37,0,6.00,0.00,2.80,6-3.2,1,1917406330568368128,极兔快递,JT0016335926548,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 10:30:36,,1,0.2,0,6.00,0.00,2.80,6-3.2,1,1917406177849565184,极兔快递,JT0016346444081,服饰,湖北省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 10:27:31,,1,0.65,0,6.00,0.00,2.80,6-3.2,1,1917405391992184832,极兔快递,JT0016344370128,服饰,山西省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 10:26:47,,1,0.63,0,6.00,0.00,2.80,6-3.2,1,1917405201562394624,极兔快递,JT0016349574933,服饰,山西省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 10:26:04,,1,0.24,0,6.00,0.00,2.80,6-3.2,1,1917405040895385600,极兔快递,JT0016351118521,服饰,江西省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 10:21:33,,1,0.3,0,6.00,0.00,2.80,6-3.2,1,1917403898253729792,极兔快递,JT0016342706559,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-30 08:47:23,,1,0.2,0,6.00,0.00,2.80,6-3.2,1,1917380204018065408,极兔快递,JT0016347638795,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 21:51:17,,1,1.41,-1,6.00,0.00,2.80,6-3.2,1,1917215082301677568,极兔快递,JT0016344285442,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 21:50:43,,1,0.58,0,6.00,0.00,2.80,6-3.2,1,1917214945407983616,极兔快递,JT0016343138717,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 20:23:08,,1,0.29,0,6.00,0.00,2.80,6-3.2,1,1917192904638259200,极兔快递,JT0016342782089,服饰,湖北省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 20:22:02,,1,0.29,0,6.00,0.00,2.80,6-3.2,1,1917192630834094080,极兔快递,JT0016345070809,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 20:20:49,,1,0.3,0,6.00,0.00,2.80,6-3.2,1,1917192326700916736,极兔快递,JT0016343596083,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 20:19:42,,1,0.3,0,6.00,0.00,2.80,6-3.2,1,1917192039454007296,极兔快递,JT0016342324591,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 20:17:04,,1,0.64,0,6.00,0.00,2.80,6-3.2,1,1917191378901458944,极兔快递,JT0016344248401,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 19:38:19,,1,0.22,0,6.00,0.00,2.80,6-3.2,1,1917181626586816512,极兔快递,JT0016340112272,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 19:11:59,,1,0.2,0,6.00,0.00,2.80,6-3.2,1,1917175000391802880,极兔快递,JT0016337264474,服饰,湖北省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 19:10:11,,1,0.38,0,6.00,0.00,2.80,6-3.2,1,1917174548640096256,极兔快递,JT0016343133362,服饰,河南省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 18:49:50,,1,1.03,-1,6.00,0.00,2.80,6-3.2,1,1917169426597994496,极兔快递,JT0016342636464,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 18:17:37,,1,0.2,0,6.00,0.00,2.80,6-3.2,1,1917161314679840768,极兔快递,JT0016343844448,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 18:08:31,,1,0.6,0,6.00,0.00,2.80,6-3.2,1,1917159025508409344,极兔快递,JT0016342962529,服饰,四川省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 18:01:22,,2,,,7.00,,3.01,43% ,1,1917157228542746624,极兔快递,JT0016335128116,食品,河南省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 17:48:03,,1,0.41,0,6.00,0.00,2.80,6-3.2,1,1917153871967084544,极兔快递,JT0016338608175,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 17:47:18,,2,1.47,0,7.00,0.00,3.01,43% ,1,1917153684058071040,极兔快递,JT0016339918273,服饰,辽宁省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 17:46:06,,1,0.39,0,6.00,0.00,2.80,6-3.2,1,1917153386153435136,极兔快递,JT0016336397751,服饰,河北省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 15:58:03,,1,0.42,0,6.00,0.00,2.80,6-3.2,1,1917126192005963776,极兔快递,JT0016337082642,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 15:55:22,,1,0.6,0,6.00,0.00,2.80,6-3.2,1,1917125518736285696,极兔快递,JT0016338942349,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 15:53:04,,1,0.22,0,6.00,0.00,2.80,6-3.2,1,1917124910973247488,极兔快递,JT0016340106255,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 13:34:37,,2,1.93,0,7.00,0.00,3.01,43% ,1,1917090100393336832,极兔快递,JT0016332272950,生活用品,湖北省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 12:50:57,,1,0.34,0,6.00,0.00,2.80,6-3.2,1,1917079108447952896,极兔快递,JT0016335987187,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 12:48:47,,1,0.2,0,6.00,0.00,2.80,6-3.2,1,1917078564673216512,极兔快递,JT0016334437671,服饰,江苏省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 12:46:50,,1,0.53,0,6.00,0.00,2.80,6-3.2,1,1917078071469203456,极兔快递,JT0016335224164,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 12:44:43,,1,0.48,0,6.00,0.00,2.52,42% ,1,1917077542286450688,韵达快递,312728911189012,服饰,安徽省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 12:33:17,,1,0.44,0,6.00,0.00,2.80,6-3.2,1,1917074661063843840,极兔快递,JT0016332180109,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 11:07:50,,1,0.31,0,6.00,0.00,2.80,6-3.2,1,1917053158842753024,极兔快递,JT0016333380580,服饰,江西省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 10:17:57,,1,0.2,0,6.00,0.00,2.80,6-3.2,1,1917040608302391296,极兔快递,JT0016332670164,服饰,河北省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 09:47:23,,1,0.31,0,6.00,0.00,2.80,6-3.2,1,1917032915286155264,极兔快递,JT0016330204373,服饰,河南省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 09:45:33,,1,0.2,0,6.00,0.00,2.80,6-3.2,1,1917032451261915136,极兔快递,JT0016331415160,服饰,河南省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 09:44:26,,1,0.27,0,6.00,0.00,2.80,6-3.2,1,1917032173817094144,极兔快递,JT0016331296069,服饰,福建省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 09:42:47,,1,0.35,0,6.00,0.00,2.80,6-3.2,1,1917031759751208960,极兔快递,JT0016329792413,服饰,浙江省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 09:41:23,,1,0.29,0,6.00,0.00,2.80,6-3.2,1,1917031406666309632,极兔快递,JT0016330382955,服饰,河南省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 09:40:18,,1,1.0,0,7.00,0.00,2.80,6-3.2,1,1917031133214466048,极兔快递,JT0016331750655,服饰,北京市,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 09:39:28,,1,0.86,0,6.00,0.00,2.80,6-3.2,1,1917030920768774144,极兔快递,JT0016329449231,服饰,福建省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 09:27:59,,1,0.3,0,6.00,0.00,2.80,6-3.2,1,1917028024455061504,极兔快递,JT0016329285119,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 09:26:55,,3,2.26,0,8.00,0.00,3.60,45% ,1,1917027766845104128,极兔快递,JT0016328846435,服饰,山西省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-29 09:08:03,,1,0.83,0,6.00,0.00,2.80,6-3.2,1,1917023003646681088,极兔快递,JT0016330317819,服饰,广东省,
凯泽智慧社区团寄快递_站点-凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,凯泽智慧社区团寄快递,快递,2025-04-28 22:36:30,,1,0.2,0,6.00,0.00,2.80,6-3.2,1,1916864070772645888,极兔快递,JT0016329062312,服饰,河北省,
