姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
名恩首府智慧社区服务_站点,合计金额:,3983.21,快递金额:, 3049.07,干洗金额:, 934.14,,,,,,,,,,,,,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 19:51:34,,0.5,,,6.00,,2.80,6-3.2,2,1917547343517638656,极兔快递,JT0016363793606,生活用品,浙江省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 19:48:45,,0.7,,,6.00,,2.80,6-3.2,2,1917546635829501952,极兔快递,JT0016346828803,服饰,浙江省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 19:35:37,,0.3,,,6.00,,2.80,6-3.2,2,1917543271800561664,极兔快递,JT0016362377737,服饰,浙江省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 19:34:24,,0.3,,,6.00,,2.80,6-3.2,2,1917543024214990848,极兔快递,JT0016363024488,服饰,浙江省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 19:17:29,2025-04-30 11:23:21,0.5,,,10.00,,0.00,,2,1917538732993208320,极兔快递,JT0016362229958,生活用品,内蒙古自治区,已全额退款
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,干洗,2025-04-30 18:56:33,,,,,24.50,,7.35,30%,,1917533497130278912,干洗,,"清洗普通羽绒服2件不分长短49元   *   1",,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,干洗,2025-04-30 18:52:17,,,,,24.50,,7.35,30%,,1917532418493702144,干洗,,"清洗普通羽绒服2件不分长短49元   *   1",,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 18:28:18,,0.8,,,6.00,,2.80,6-3.2,2,1917526364997345280,极兔快递,JT0016361158919,服饰,广东省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 18:22:10,,0.1,,,6.00,,2.80,6-3.2,2,1917524842167197696,极兔快递,JT0016361087425,生活用品,浙江省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 17:24:14,,0.6,,,6.00,,2.80,6-3.2,2,1917510266268737536,极兔快递,JT0016354082703,服饰,浙江省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 17:07:28,,0.2,,,6.00,,2.80,6-3.2,2,1917506046354317312,极兔快递,JT0016360501134,服饰,广东省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 17:05:14,,0.3,,,6.00,,2.80,6-3.2,2,1917505473840209920,极兔快递,JT0016360319445,服饰,福建省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 17:04:26,,0.3,,,6.00,,2.80,6-3.2,2,1917505283536248832,极兔快递,JT0016360963090,服饰,广东省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 16:48:10,,0.3,,,6.00,,2.80,6-3.2,2,1917501191338385408,极兔快递,JT0016355571536,服饰,浙江省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 16:34:12,,2.3,,,10.00,,5.50,55% ,2,1917497672560599040,极兔快递,JT0016356791253,服饰,陕西省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 16:12:40,,0.5,,,6.00,,2.80,6-3.2,2,1917492257785438208,极兔快递,JT0016358208763,服饰,浙江省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 16:07:50,,0.2,,,6.00,,2.80,6-3.2,2,1917491031089930240,极兔快递,JT0016358378570,服饰,湖北省,
名恩首府智慧社区服务_站点-名恩首府智慧社区服务站,名恩首府智慧社区服务站,名恩首府智慧社区服务站,快递,2025-04-30 16:07:07,,0.5,,,6.00,,2.80,6-3.2,2,1917490825187352576,极兔快递,JT0016358357329,服饰,广东省,
