姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
嘉丰国际城_站点,合计金额:,1048.87,快递金额:, 1007.50,干洗金额:, 41.37,,,,,,,,,,,,,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-30 20:23:13,,0.4,,,6.00,,2.80,6-3.2,1,1917555308689678336,极兔快递,JT0016362967224,服饰,江苏省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-30 20:22:00,,0.2,,,6.00,,2.80,6-3.2,1,1917555007391850496,极兔快递,JT0016351165007,服饰,福建省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-30 19:33:48,,0.4,,,6.00,,2.80,6-3.2,1,1917542877556957184,极兔快递,JT0016359207925,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-30 19:15:39,,0.4,,,6.00,,2.80,6-3.2,1,1917538311595679744,极兔快递,JT0016360587836,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-30 15:23:51,,6,5.99,0,15.00,4.50,6.00,40% ,1,1917479976179654656,极兔快递,JT0016356825484,生鲜类,湖南省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-29 21:51:25,,0.5,0.45,0,6.00,0.00,2.80,6-3.2,1,1917215121048657920,极兔快递,JT0016342200505,服饰,浙江省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-29 21:28:07,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1917209260934881280,极兔快递,JT0016345240126,服饰,江苏省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-29 14:49:01,,11.4,15.13,-4,30.00,15.00,12.00,40% ,1,1917108820440309760,韵达快递,312729124249559,其他,山西省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 23:29:54,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1916877512942346240,极兔快递,JT0016322219207,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 23:29:18,,1,0.86,0,6.00,0.00,2.80,6-3.2,1,1916877369920774144,极兔快递,JT0016325472531,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 22:47:24,,0.2,0.31,0,6.00,0.00,2.80,6-3.2,1,1916866824647794688,极兔快递,JT0016327805987,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 22:46:32,,8,21.28,-14,20.00,28.50,8.00,40% ,1,1916866601498238976,极兔快递,JT0016328886389,其他,河北省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 22:43:33,,0.5,0.67,0,6.00,0.00,2.80,6-3.2,1,1916865855281225728,极兔快递,JT0016327442166,生鲜类,福建省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 22:37:32,,2,1.27,0,7.00,0.00,3.01,43% ,1,1916864343855390720,极兔快递,JT0016323936761,易碎品,福建省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 22:33:21,,1,1.29,-1,6.00,0.00,2.80,6-3.2,1,1916863288404926464,极兔快递,JT0016320384431,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 16:50:05,,7,6.99,0,17.50,6.00,7.00,40% ,1,1916776896924540928,极兔快递,JT0016323446478,生鲜类,安徽省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 16:49:18,,7,6.83,0,17.50,6.00,7.00,40% ,1,1916776695686029312,极兔快递,JT0016323160924,生鲜类,安徽省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 16:48:43,,7,6.9,0,17.50,6.00,7.00,40% ,1,1916776553553649664,极兔快递,JT0016315909215,生鲜类,安徽省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 16:47:51,,7,6.87,0,17.50,6.00,7.00,40% ,1,1916776332316696576,极兔快递,JT0016322939641,生鲜类,安徽省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 16:47:19,,7,6.98,0,17.50,6.00,7.00,40% ,1,1916776197490794496,极兔快递,JT0016323477358,生鲜类,安徽省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 16:46:26,,7,6.86,0,17.50,6.00,7.00,40% ,1,1916775977973506048,极兔快递,JT0016318096616,生鲜类,安徽省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 16:45:50,,7,6.84,0,17.50,6.00,7.00,40% ,1,1916775829776162816,极兔快递,JT0016319110385,生鲜类,安徽省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-28 16:44:15,,7,6.87,0,17.50,6.00,7.00,40% ,1,1916775435238957056,极兔快递,JT0016321913606,生鲜类,安徽省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:58:50,,4,3.72,0,10.00,3.00,4.00,40% ,1,1916371419602411520,韵达快递,312726319413860,服饰,陕西省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:58:20,,16,16.05,-1,40.00,15.00,16.00,40% ,1,1916371296537337856,韵达快递,312726319282090,其他,陕西省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:55:56,,3,3.94,-1,8.00,3.00,3.60,45% ,1,1916370690359746560,韵达快递,312726310630399,其他,陕西省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:41:44,,0.5,0.69,0,6.00,0.00,2.80,6-3.2,1,1916367109623701504,极兔快递,JT0016297894636,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:41:06,,1,1.18,-1,6.00,0.00,2.80,6-3.2,1,1916366950194012160,极兔快递,JT0016293949080,服饰,河北省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:40:34,,0.5,0.45,0,6.00,0.00,2.80,6-3.2,1,1916366815141617664,极兔快递,JT0016300651355,服饰,浙江省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:40:00,,0.5,0.66,0,6.00,0.00,2.80,6-3.2,1,1916366681104244736,极兔快递,JT0016298622066,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:37:41,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1916366089380225024,极兔快递,JT0016299888381,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:36:57,,0.5,0.55,0,6.00,0.00,2.80,6-3.2,1,1916365906185609216,极兔快递,JT0016299137667,服饰,湖北省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:36:00,,0.3,0.2,0,6.00,0.00,2.80,6-3.2,1,1916365670927097856,极兔快递,JT0016301724208,其他,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:27:54,,0.5,0.71,0,6.00,0.00,2.80,6-3.2,1,1916363627332165632,极兔快递,JT0016300319195,服饰,浙江省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:27:24,,0.5,0.47,0,6.00,0.00,2.80,6-3.2,1,1916363499070349312,极兔快递,JT0016297240053,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:26:44,,0.5,0.58,0,6.00,0.00,2.80,6-3.2,1,1916363333722497024,极兔快递,JT0016300543170,生鲜类,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:26:13,,0.5,0.5,0,6.00,0.00,2.80,6-3.2,1,1916363209332023296,极兔快递,JT0016301050879,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:20:47,,0.5,0.27,0,6.00,0.00,2.80,6-3.2,1,1916361836725067776,极兔快递,JT0016298801085,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:20:21,,0.5,0.65,0,6.00,0.00,2.80,6-3.2,1,1916361730491736064,极兔快递,JT0016299023144,服饰,河南省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 13:19:54,,0.4,0.63,0,6.00,0.00,2.80,6-3.2,1,1916361620479336448,极兔快递,JT0016297736290,服饰,广西壮族自治区,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-27 10:51:41,,0.3,0.37,0,6.00,0.00,2.80,6-3.2,1,1916324318294106112,极兔快递,JT0016295895663,服饰,陕西省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 18:57:53,,0.6,0.4,0,6.00,0.00,2.80,6-3.2,1,1916084289265262592,极兔快递,JT0016291354782,服饰,浙江省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 18:54:07,,1,0.71,0,6.00,0.00,2.80,6-3.2,1,1916083341780377600,极兔快递,JT0016290258773,其他,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 18:50:18,,0.5,0.93,0,6.00,0.00,2.80,6-3.2,1,1916082373856649216,极兔快递,JT0016291132806,服饰,湖北省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 18:49:50,,0.5,0.59,0,6.00,0.00,2.80,6-3.2,1,1916082256369999872,极兔快递,JT0016291166655,服饰,辽宁省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 18:49:27,,0.5,0.98,0,6.00,0.00,2.80,6-3.2,1,1916082159607406592,极兔快递,JT0016289299321,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 18:48:49,,0.5,1.2,-1,6.00,0.00,2.80,6-3.2,1,1916082001142407168,极兔快递,JT0016287377275,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 18:48:22,,0.5,1.04,-1,6.00,0.00,2.80,6-3.2,1,1916081895894736896,极兔快递,JT0016288502748,服饰,福建省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 18:44:23,,0.4,0.43,0,6.00,0.00,2.80,6-3.2,1,1916080889500852224,极兔快递,JT0016280423051,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 18:36:21,,0.5,0.82,0,6.00,0.00,2.80,6-3.2,1,1916078864557989888,极兔快递,JT0016278263985,服饰,河南省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 18:35:55,,0.3,0.4,0,6.00,0.00,2.80,6-3.2,1,1916078762288275456,极兔快递,JT0016291784281,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 18:34:07,,0.3,0.44,0,6.00,0.00,2.80,6-3.2,1,1916078303737602048,极兔快递,JT0016291289758,服饰,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 16:52:51,2025-04-26 09:36:03,0.2,,,6.00,,0.00,,1,1916052819003891712,韵达快递,312725064543531,文件,广东省,已全额退款
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 17:26:49,,0.3,0.45,0,6.00,0.00,2.52,42% ,1,1916061359848349696,韵达快递,312725101319409,文件,山东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 17:04:14,,0.3,0.23,0,6.00,0.00,2.80,6-3.2,1,1916055687891050496,极兔快递,JT0016285831211,服饰,山东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 16:59:48,,0.2,0.29,0,6.00,0.00,2.52,42% ,1,1916054567290462208,韵达快递,312725074031491,文件,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 16:59:10,,0.2,0.1,0,6.00,0.00,2.52,42% ,1,1916054403188318208,韵达快递,312725072077568,文件,湖北省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 16:58:13,,0.2,0.09,0,6.00,0.00,2.52,42% ,1,1916054171201363968,韵达快递,312725071164003,文件,河南省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 16:57:28,,0.2,0.1,0,6.00,0.00,2.52,42% ,1,1916053983967633408,韵达快递,312725067432078,文件,山东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 16:55:13,,0.2,0.09,0,6.00,0.00,2.52,42% ,1,1916053418424459264,韵达快递,312725066644056,文件,广东省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 16:53:55,,0.2,0.2,0,6.00,0.00,2.80,6-3.2,1,1916053086080393216,极兔快递,JT0016289087568,文件,重庆市,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 16:52:03,,0.2,0.15,0,6.00,0.00,2.52,42% ,1,1916052616691638272,韵达快递,312725064322093,文件,河南省,
嘉丰国际城_站点-嘉丰国际城,嘉丰国际城,嘉丰国际城,快递,2025-04-26 16:51:00,,0.2,0.18,0,6.00,0.00,2.52,42% ,1,1916052350693072896,韵达快递,312725063969075,文件,湖北省,
