姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
国胜花园_站点,合计金额:,1395.52,快递金额:, 1359.94,干洗金额:, 35.58,,,,,,,,,,,,,
国胜花园_站点-国胜花园,国胜花园,国胜花园,快递,2025-04-30 22:47:30,,1,,,6.00,,2.80,6-3.2,2,1917591629965615104,极兔快递,JT0016363815872,其他,山东省,
国胜花园_站点-国胜花园,国胜花园,国胜花园,快递,2025-04-30 22:38:27,,2,,,8.00,,4.08,51% ,2,1917589351292526592,极兔快递,JT0016363268342,其他,河北省,
国胜花园_站点-国胜花园,国胜花园,国胜花园,快递,2025-04-30 21:37:27,,1,,,6.00,,2.80,6-3.2,2,1917574001423343616,极兔快递,JT0016362665980,其他,浙江省,
国胜花园_站点-国胜花园,国胜花园,国胜花园,快递,2025-04-30 20:31:39,,1,,,6.00,,2.80,6-3.2,2,1917557374984183808,极兔快递,JT0016353606722,其他,广东省,
国胜花园_站点-国胜花园,国胜花园,国胜花园,快递,2025-04-30 20:19:00,,1,,,6.00,,2.80,6-3.2,2,1917554256280084480,极兔快递,JT0016359274425,其他,浙江省,
国胜花园_站点-国胜花园,国胜花园,国胜花园,快递,2025-04-30 20:17:54,,1,,,6.00,,2.80,6-3.2,2,1917553978474553344,极兔快递,JT0016359050841,其他,广东省,
国胜花园_站点-国胜花园,国胜花园,国胜花园,快递,2025-04-30 20:17:16,,1,,,6.00,,2.80,6-3.2,2,1917553820512870400,极兔快递,JT0016361596255,其他,湖北省,
国胜花园_站点-国胜花园,国胜花园,国胜花园,快递,2025-04-30 19:58:56,,6,,,18.00,,9.00,50% ,2,1917549210448486400,极兔快递,JT0016348253713,其他,江西省,
国胜花园_站点-国胜花园,国胜花园,国胜花园,快递,2025-04-30 19:55:26,,3,,,10.00,,5.50,55% ,2,1917548330311540736,极兔快递,JT0016359195966,其他,陕西省,
