姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
姑娘_站点,合计金额:,257.99,快递金额:, 257.99,干洗金额:, 0,,,,,,,,,,,,,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-30 15:39:36,,13,,,32.50,,13.00,40% ,1,1917483703120748544,极兔快递,JT0016353147475,易碎品,陕西省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-30 01:17:29,,0.5,,,6.00,,2.80,6-3.2,1,1917266973521928192,极兔快递,JT0016346902489,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-28 00:51:00,,0.5,1.04,-1,6.00,0.00,2.80,6-3.2,1,1916535539790307328,极兔快递,JT0016310641176,生活用品,江苏省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 23:14:23,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1916511224768290816,极兔快递,JT0016307683601,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:49:36,,0.5,0.22,0,6.00,0.00,2.80,6-3.2,1,1916504979399303168,极兔快递,JT0016311126618,服饰,辽宁省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:48:45,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1916504764428640256,极兔快递,JT0016309283299,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:47:57,,0.5,0.32,0,6.00,0.00,2.80,6-3.2,1,1916504569594830848,极兔快递,JT0016311055218,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:46:45,,0.5,0.44,0,6.00,0.00,2.80,6-3.2,1,1916504269949558784,极兔快递,JT0016308176396,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:45:46,,3,1.85,1,8.00,0.00,3.60,45% ,1,1916504023794245632,极兔快递,JT0016306487448,易碎品,四川省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:44:55,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1916503797587042304,极兔快递,JT0016309684938,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:44:04,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1916503596457582592,极兔快递,JT0016308707414,服饰,安徽省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:43:07,,2,1.61,0,7.00,0.00,3.01,43% ,1,1916503357206093824,极兔快递,JT0016310965160,生活用品,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:42:10,,0.5,0.81,0,6.00,0.00,2.80,6-3.2,1,1916503107787612160,极兔快递,JT0016309875062,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:41:22,,0.5,0.71,0,6.00,0.00,2.80,6-3.2,1,1916502905479553024,极兔快递,JT0016310664525,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:40:25,,0.5,1.35,-1,6.00,0.00,2.80,6-3.2,1,1916502664952995840,极兔快递,JT0016309884470,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:39:38,,0.5,1.04,-1,6.00,0.00,2.80,6-3.2,1,1916502466075877376,极兔快递,JT0016309717226,服饰,福建省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:38:46,,0.5,0.59,0,6.00,0.00,2.80,6-3.2,1,1916502252992651264,极兔快递,JT0016301441939,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:38:03,,0.5,0.23,0,6.00,0.00,2.80,6-3.2,1,1916502080866803712,极兔快递,JT0016309890531,生活用品,江苏省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:37:14,,2,1.0,1,7.00,0.00,3.01,43% ,1,1916501876998463488,极兔快递,JT0016303028056,生活用品,山东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:36:29,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1916501678272339968,极兔快递,JT0016307898533,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:35:29,,0.5,0.75,0,6.00,0.00,2.80,6-3.2,1,1916501420343615488,极兔快递,JT0016310982243,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:34:40,,0.5,0.21,0,6.00,0.00,2.80,6-3.2,1,1916501212998197248,极兔快递,JT0016308841580,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:33:36,,0.5,0.79,0,6.00,0.00,2.80,6-3.2,1,1916500956793331712,极兔快递,JT0016303570509,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:31:44,,4,4.25,-1,10.00,3.00,4.00,40% ,1,1916500418265669632,极兔快递,JT0016306862747,生活用品,江苏省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-27 22:28:07,,2,1.85,0,7.00,0.00,3.01,43% ,1,1916499529496846336,极兔快递,JT0016309505991,易碎品,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-22 17:28:18,,18,16.04,1,45.00,21.00,18.00,40% ,1,1914612189484732416,极兔快递,JT0016223985822,生活用品,河北省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-22 01:03:22,,0.5,0.23,0,6.00,0.00,2.80,6-3.2,1,1914364313856823296,极兔快递,JT0016204738559,服饰,河北省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-22 00:53:30,,2,1.21,0,7.00,0.00,3.01,43% ,1,1914361839745945600,极兔快递,JT0016211629964,易碎品,福建省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-22 00:52:15,,5,5.18,-1,12.50,4.50,5.00,40% ,1,1914361523130519552,极兔快递,JT0016208559874,易碎品,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-22 00:44:26,,2,1.51,0,7.00,0.00,3.01,43% ,1,1914359558954733568,极兔快递,JT0016209284353,易碎品,河北省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-22 00:43:12,,3,1.57,1,8.00,0.00,3.60,45% ,1,1914359248496545792,极兔快递,JT0016205395085,易碎品,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-22 00:41:52,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1914358904668475392,极兔快递,JT0016207327508,生活用品,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-22 00:40:58,,0.5,0.78,0,6.00,0.00,2.80,6-3.2,1,1914358675877580800,极兔快递,JT0016210636479,服饰,山西省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-22 00:39:57,,0.5,0.85,0,6.00,0.00,2.80,6-3.2,1,1914358429957148672,极兔快递,JT0016209770006,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-22 00:38:00,,4,2.67,1,10.00,0.00,4.00,40% ,1,1914357915131498496,极兔快递,JT0016211560807,易碎品,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 20:50:33,,0.5,0.54,0,6.00,0.00,2.80,6-3.2,1,1913575927215497216,极兔快递,JT0016176708933,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 20:48:29,,0.5,0.23,0,6.00,0.00,2.52,42% ,1,1913575401077809152,韵达快递,312716776270075,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:40:36,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1913558312350851072,极兔快递,JT0016177729295,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:39:52,,0.5,0.52,0,6.00,0.00,2.80,6-3.2,1,1913558126840979456,极兔快递,JT0016175652729,服饰,辽宁省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:39:06,,0.5,0.78,0,6.00,0.00,2.80,6-3.2,1,1913557936788676608,极兔快递,JT0016175941993,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:38:18,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1913557713488125952,极兔快递,JT0016175388580,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:37:14,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1913557463654408192,极兔快递,JT0016174444567,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:36:30,,0.5,0.48,0,6.00,0.00,2.80,6-3.2,1,1913557279721594880,极兔快递,JT0016177734613,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:35:31,,0.5,0.25,0,6.00,0.00,2.80,6-3.2,1,1913557034115735552,极兔快递,JT0016172804369,服饰,辽宁省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:34:49,,0.5,0.4,0,6.00,0.00,2.80,6-3.2,1,1913556855874592768,极兔快递,JT0016177621277,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:34:02,,0.5,0.24,0,6.00,0.00,2.80,6-3.2,1,1913556662789808128,极兔快递,JT0016172015317,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:33:20,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1913556489170788352,极兔快递,JT0016172813049,服饰,四川省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:32:35,,0.5,0.2,0,7.00,0.00,2.80,6-3.2,1,1913556252515573760,极兔快递,JT0016177692751,服饰,上海市,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:31:36,,0.5,0.72,0,6.00,0.00,2.80,6-3.2,1,1913556047305056256,极兔快递,JT0016177261703,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:30:44,,0.5,0.55,0,6.00,0.00,2.80,6-3.2,1,1913555794224947200,极兔快递,JT0016177749431,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-19 19:29:24,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1913555496538415104,极兔快递,JT0016176728663,生活用品,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-13 18:08:51,,4,3.5,0,10.00,1.50,4.00,40% ,1,1911360907164700672,极兔快递,JT0016081253393,生活用品,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-13 15:53:37,,0.5,0.37,0,6.00,0.00,2.80,6-3.2,1,1911326855804145664,极兔快递,JT0016074107345,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-13 15:49:20,,0.5,0.28,0,6.00,0.00,2.80,6-3.2,1,1911325776307736576,极兔快递,JT0016076560266,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-13 15:41:30,,0.5,0.26,0,6.00,0.00,2.80,6-3.2,1,1911323821984370688,极兔快递,JT0016076687393,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-13 15:40:00,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1911323434963357696,极兔快递,JT0016078461011,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-13 15:39:11,,0.5,0.56,0,6.00,0.00,2.80,6-3.2,1,1911323229929000960,极兔快递,JT0016078593044,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-13 15:38:17,,0.5,0.23,0,6.00,0.00,2.80,6-3.2,1,1911323002673221632,极兔快递,JT0016079027898,服饰,江苏省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-13 15:37:32,,0.5,0.33,0,6.00,0.00,2.80,6-3.2,1,1911322816399986688,极兔快递,JT0016069902381,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-13 15:36:48,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1911322618789548032,极兔快递,JT0016077744235,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-13 15:35:47,,0.5,0.24,0,6.00,0.00,2.80,6-3.2,1,1911322381383553024,极兔快递,JT0016077505360,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-13 15:34:30,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1911322020476276736,极兔快递,JT0016078284990,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-08 23:11:28,,0.5,0.94,0,6.00,0.00,2.80,6-3.2,1,1909625122656800768,极兔快递,JT0016008599326,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-08 18:05:53,,0.5,0.97,0,6.00,0.00,2.80,6-3.2,1,1909548201411530752,极兔快递,JT0016006828166,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-08 18:04:58,,0.5,0.97,0,6.00,0.00,2.80,6-3.2,1,1909547989011976192,极兔快递,JT0016001098250,生活用品,福建省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-08 17:57:15,,0.5,0.7,0,6.00,0.00,2.80,6-3.2,1,1909546050274643968,极兔快递,JT0016000852315,服饰,浙江省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-08 17:55:55,,0.5,0.74,0,6.00,0.00,2.80,6-3.2,1,1909545666923646976,极兔快递,JT0016005383662,服饰,安徽省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-08 17:54:58,,0.5,0.77,0,6.00,0.00,2.80,6-3.2,1,1909545470110126080,极兔快递,JT0016006400838,服饰,安徽省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-08 17:50:23,,0.5,0.26,0,6.00,0.00,2.80,6-3.2,1,1909544292248899584,极兔快递,JT0016002613156,服饰,江苏省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-03 23:51:05,,0.5,0.57,0,6.00,0.00,2.80,6-3.2,1,1907823109984690176,极兔快递,JT0015940778698,生活用品,江苏省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-03 23:08:00,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1907812301800153088,极兔快递,JT0015938880741,生活用品,江苏省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-03 23:07:17,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1907812117691179008,极兔快递,JT0015939117772,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-03 23:06:27,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1907811911952179200,极兔快递,JT0015937628150,服饰,广东省,
姑娘_站点-姑娘,姑娘,姑娘,快递,2025-04-03 23:05:38,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,1,1907811699913334784,极兔快递,JT0015937292979,服饰,广东省,
