姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
宝园小区6元寄快递服务站_站点,合计金额:,1490.20,快递金额:, 1478.32,干洗金额:, 11.88,,,,,,,,,,,,,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 20:12:24,,1,,,6.00,,2.80,6-3.2,2,1917552584476647424,极兔快递,JT0016361910759,服饰,广东省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 20:10:43,,0.25,,,6.00,,2.80,6-3.2,2,1917552163678904320,极兔快递,JT0016364050596,鞋,福建省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 20:09:17,,1,,,6.00,,2.80,6-3.2,2,1917551793514799104,极兔快递,JT0016360592176,服饰,浙江省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 20:08:36,,1,,,6.00,,2.80,6-3.2,2,1917551619748978688,极兔快递,JT0016361763147,服饰,浙江省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 20:07:41,,1,,,6.00,,2.80,6-3.2,2,1917551381239881728,极兔快递,JT0016360496434,服饰,浙江省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 20:06:51,,0.7,,,6.00,,2.80,6-3.2,2,1917551191669923840,极兔快递,JT0016363634449,鞋,浙江省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 19:06:46,,0.9,,,6.00,,2.80,6-3.2,2,1917536070138650624,极兔快递,JT0016360635215,鞋,福建省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 19:04:44,,0.1,,,6.00,,2.80,6-3.2,2,1917535558970433536,极兔快递,JT0016362636436,服饰,广东省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 18:59:47,,1.15,,,8.00,,4.08,51% ,2,1917534310149971968,极兔快递,JT0016357351536,化妆品,广东省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 17:53:13,,1,,,6.00,,2.80,6-3.2,2,1917517548629057536,极兔快递,JT0016350211927,服饰,广东省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 17:52:28,,1.2,,,8.00,,4.08,51% ,2,1917517373160349696,极兔快递,JT0016361244172,鞋,河北省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 17:48:19,,1,,,6.00,,2.80,6-3.2,2,1917516323342835712,极兔快递,JT0016354008321,服饰,浙江省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 17:21:46,,1,,,6.00,,2.80,6-3.2,2,1917509643737554944,极兔快递,JT0016360658442,服饰,辽宁省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-30 17:17:46,,1,,,6.00,,2.80,6-3.2,2,1917508625209548800,极兔快递,JT0016360290726,服饰,广东省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-29 20:58:07,,1,0.51,0,6.00,0.00,2.80,6-3.2,2,1917201702719381504,极兔快递,JT0016344801570,服饰,广东省,
宝园小区6元寄快递服务站_站点-宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,宝园小区6元寄快递服务站,快递,2025-04-29 20:55:12,,0.7,0.73,0,6.00,0.00,2.80,6-3.2,2,1917200908121071616,极兔快递,JT0016330403666,鞋,福建省,
