姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
延安新城小象聚合快递_站点,合计金额:,822.69,快递金额:, 797.40,干洗金额:, 25.29,,,,,,,,,,,,,
延安新城小象聚合快递_站点-延安新城小象聚合快递,null,匿名,快递,2025-04-20 19:26:12,,0.5,0.2,0,6.00,0.00,2.80,6-3.2,2,1913916967575298048,极兔快递,JT0016190217229,生活用品,广东省,
延安新城小象聚合快递_站点-延安新城小象聚合快递,null,匿名,快递,2025-04-19 13:42:43,,3,2.42,0,10.00,0.00,5.50,55% ,2,1913467605883756544,极兔快递,JT0016167136067,服饰,福建省,
延安新城小象聚合快递_站点-延安新城小象聚合快递,null,匿名,快递,2025-04-19 13:35:33,2025-04-19 05:42:24,2,,,8.00,,0.00,,2,1913466319373279232,极兔快递,JT0016170774134,服饰,福建省,已全额退款
延安新城小象聚合快递_站点-延安新城小象聚合快递,null,匿名,快递,2025-04-19 10:28:50,,1,0.62,0,6.00,0.00,2.80,6-3.2,2,1913419398050947072,极兔快递,JT0016162846083,服饰,广东省,
延安新城小象聚合快递_站点-延安新城小象聚合快递,null,匿名,快递,2025-04-19 10:26:05,,1,0.93,0,6.00,0.00,2.80,6-3.2,2,1913418702199136256,极兔快递,JT0016165969003,生活用品,浙江省,
延安新城小象聚合快递_站点-延安新城小象聚合快递,null,匿名,快递,2025-04-19 10:23:37,,0.8,0.2,0,6.00,0.00,2.80,6-3.2,2,1913417977356296192,极兔快递,JT0016158756174,生活用品,浙江省,
延安新城小象聚合快递_站点-延安新城小象聚合快递,null,匿名,快递,2025-04-19 09:47:34,,0.8,0.55,0,6.00,0.00,2.80,6-3.2,2,1913408985515106304,极兔快递,JT0016163483939,服饰,广西壮族自治区,
延安新城小象聚合快递_站点-延安新城小象聚合快递,null,匿名,快递,2025-04-19 09:46:01,,0.8,0.44,0,6.00,0.00,2.80,6-3.2,2,1913408567842119680,极兔快递,JT0016164433745,服饰,湖南省,
延安新城小象聚合快递_站点-延安新城小象聚合快递,null,匿名,快递,2025-04-19 09:43:47,,0.8,0.39,0,6.00,0.00,2.80,6-3.2,2,1913408033055776768,极兔快递,JT0016165600948,服饰,浙江省,
