姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
御湖台小区_站点,合计金额:,789.56,快递金额:, 789.56,干洗金额:, 0,,,,,,,,,,,,,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 09:06:47,2025-05-09 00:14:32,1,,,6.00,,0.00,,2,1917022693926690816,极兔快递,JT0016331010647,服饰,浙江省,已全额退款
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-30 20:43:11,,1,,,6.00,,2.80,6-3.2,2,1917560326159392768,极兔快递,JT0016360086487,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-30 20:42:20,,1,,,6.00,,2.80,6-3.2,2,1917560105471893504,极兔快递,JT0016360884619,食品,河南省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-30 20:41:24,,1,,,6.00,,2.80,6-3.2,2,1917559885027663872,极兔快递,JT0016357819990,服饰,湖北省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-30 19:28:01,,1,,,6.00,,2.80,6-3.2,2,1917541418815774720,极兔快递,JT0016360599791,服饰,河北省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-30 19:26:00,,1,,,6.00,,2.80,6-3.2,2,1917540911594397696,极兔快递,JT0016363099980,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-30 19:24:39,,1,,,6.00,,2.80,6-3.2,2,1917540570408738816,极兔快递,JT0016361528890,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 21:23:21,,1,1.56,-1,6.00,0.00,2.80,6-3.2,2,1917208049540194304,极兔快递,JT0016342210312,生活用品,天津市,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 21:22:15,,1,0.81,0,6.00,0.00,2.80,6-3.2,2,1917207781482225664,极兔快递,JT0016344480195,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 21:20:49,,1,0.87,0,6.00,0.00,2.80,6-3.2,2,1917207417634742272,极兔快递,JT0016342184977,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 21:19:08,,1,0.32,0,6.00,0.00,2.80,6-3.2,2,1917206995851337728,极兔快递,JT0016342669642,服饰,辽宁省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 09:05:21,,1,0.21,0,6.00,0.00,2.80,6-3.2,2,1917022324798578688,极兔快递,JT0016330596794,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 09:04:51,,1,0.63,0,6.00,0.00,2.80,6-3.2,2,1917022196243161088,极兔快递,JT0016330283572,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 09:04:07,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1917022012150964224,极兔快递,JT0016326046955,服饰,安徽省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 09:03:37,,1,0.66,0,6.00,0.00,2.80,6-3.2,2,1917021883528437760,极兔快递,JT0016330367408,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 09:03:02,,1,0.9,0,6.00,0.00,2.80,6-3.2,2,1917021714116304896,极兔快递,JT0016330734304,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 09:02:25,,1,1.06,-1,6.00,0.00,2.80,6-3.2,2,1917021584407453696,极兔快递,JT0016330150434,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 09:01:45,,1,0.28,0,6.00,0.00,2.80,6-3.2,2,1917021416769511424,极兔快递,JT0016325951868,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 09:01:14,,1,0.33,0,6.00,0.00,2.80,6-3.2,2,1917021287144546304,极兔快递,JT0016321478263,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 09:00:42,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1917021156735246336,极兔快递,JT0016330600095,服饰,湖北省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 09:00:13,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1917021029589114880,极兔快递,JT0016329111228,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 08:59:36,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1917020872717950976,极兔快递,JT0016329262282,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 08:59:05,,1,0.27,0,6.00,0.00,2.80,6-3.2,2,1917020747354398720,极兔快递,JT0016329234521,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 08:58:33,,1,0.31,0,6.00,0.00,2.80,6-3.2,2,1917020610028691456,极兔快递,JT0016329895192,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 08:58:01,,1,0.45,0,6.00,0.00,2.80,6-3.2,2,1917020445670694912,极兔快递,JT0016328691093,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 08:57:12,,1,0.41,0,6.00,0.00,2.80,6-3.2,2,1917020282378051584,极兔快递,JT0016329658903,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 08:55:22,,1,0.33,0,6.00,0.00,2.80,6-3.2,2,1917019821092691968,极兔快递,JT0016328059569,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-29 08:50:23,,1,0.75,0,6.00,0.00,2.80,6-3.2,2,1917018564982530048,极兔快递,JT0016329375640,服饰,福建省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-28 19:17:50,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1916814078846492672,极兔快递,JT0016326811565,服饰,江苏省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-28 19:12:22,,5,4.71,0,15.00,3.00,7.50,50% ,2,1916812706331811840,极兔快递,JT0016316961492,生活用品,江苏省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-28 19:11:49,,1,0.25,0,6.00,0.00,2.80,6-3.2,2,1916812541499858944,极兔快递,JT0016325106566,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-28 19:11:11,,1,0.32,0,6.00,0.00,2.80,6-3.2,2,1916812398746722304,极兔快递,JT0016327000246,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-28 19:10:40,,1,0.38,0,6.00,0.00,2.80,6-3.2,2,1916812276256268288,极兔快递,JT0016326260467,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-28 19:09:59,,2,1.73,0,8.00,0.00,4.08,51% ,2,1916812105606815744,极兔快递,JT0016324336778,生活用品,江苏省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-28 19:07:19,,1,0.3,0,6.00,0.00,2.80,6-3.2,2,1916811422400831488,极兔快递,JT0016325133240,服饰,福建省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-28 19:06:14,,1,0.31,0,6.00,0.00,2.80,6-3.2,2,1916811160839839744,极兔快递,JT0016325886590,服饰,福建省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-28 19:01:00,,1,0.58,0,6.00,0.00,2.80,6-3.2,2,1916809843501228032,极兔快递,JT0016324031009,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-28 18:57:43,,2,1.05,0,8.00,0.00,4.08,51% ,2,1916809015608532992,极兔快递,JT0016324513061,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-28 18:56:04,,1,0.71,0,6.00,0.00,2.80,6-3.2,2,1916808599894286336,极兔快递,JT0016324600995,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-27 21:02:35,,1,0.33,0,6.00,0.00,2.80,6-3.2,2,1916478054639394816,极兔快递,JT0016308708907,生活用品,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-27 20:59:27,,1,0.28,0,6.00,0.00,2.80,6-3.2,2,1916477257386090496,极兔快递,JT0016308436150,服饰,辽宁省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-27 20:58:32,,1,0.7,0,6.00,0.00,2.80,6-3.2,2,1916477037025746944,极兔快递,JT0016301652337,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-27 20:56:31,,1,0.82,0,6.00,0.00,2.80,6-3.2,2,1916476528734822400,极兔快递,JT0016306784109,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-27 20:54:16,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1916475958397558784,极兔快递,JT0016294154189,服饰,湖北省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-26 21:05:22,,1,0.47,0,6.00,0.00,2.80,6-3.2,2,1916116349501628416,极兔快递,JT0016290934617,服饰,辽宁省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-26 21:04:35,,1,0.28,0,6.00,0.00,2.80,6-3.2,2,1916116169180110848,极兔快递,JT0016289906895,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-26 20:58:50,,1,0.48,0,6.00,0.00,2.80,6-3.2,2,1916114722682101760,极兔快递,JT0016292708328,生活用品,陕西省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-26 20:55:56,,1,0.28,0,6.00,0.00,2.80,6-3.2,2,1916113984094527488,极兔快递,JT0016289058870,服饰,河北省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-26 20:55:15,,1,0.78,0,6.00,0.00,2.80,6-3.2,2,1916113820256624640,极兔快递,JT0016290916579,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-26 20:52:19,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1916113079769030656,极兔快递,JT0016291235263,生活用品,河北省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-26 20:49:38,,1,0.24,0,6.00,0.00,2.80,6-3.2,2,1916112403689168896,极兔快递,JT0016290192885,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-25 21:52:19,,1,0.3,0,7.00,0.00,2.80,6-3.2,2,1915765797030780928,极兔快递,JT0016277444013,服饰,上海市,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-25 21:50:35,,1,0.62,0,6.00,0.00,2.80,6-3.2,2,1915765359074140160,极兔快递,JT0016262549689,生活用品,福建省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-25 21:48:05,,1,0.24,0,6.00,0.00,2.80,6-3.2,2,1915764730222141440,极兔快递,JT0016278038195,服饰,福建省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-25 21:46:30,,1,0.21,0,6.00,0.00,2.80,6-3.2,2,1915764332392407040,极兔快递,JT0016272136491,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-25 21:44:22,,1,0.44,0,6.00,0.00,2.80,6-3.2,2,1915763792447070208,极兔快递,JT0016273515513,服饰,福建省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-25 21:42:50,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1915763391136063488,极兔快递,JT0016277311303,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-24 20:40:27,,1,0.25,0,6.00,0.00,2.80,6-3.2,2,1915385314702843904,极兔快递,JT0016250095338,服饰,山东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-24 20:39:57,,1,0.24,0,6.00,0.00,2.80,6-3.2,2,1915385187875479552,极兔快递,JT0016259828229,服饰,山东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-24 20:39:22,,1,0.34,0,6.00,0.00,2.80,6-3.2,2,1915385049635414016,极兔快递,JT0016258430783,服饰,山东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-24 20:37:55,,1,0.52,0,6.00,0.00,2.80,6-3.2,2,1915384683808219136,极兔快递,JT0016259369372,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-24 20:34:39,,1,0.41,0,6.00,0.00,2.80,6-3.2,2,1915383859627483136,极兔快递,JT0016259535937,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-24 20:31:45,,1,0.48,0,6.00,0.00,2.80,6-3.2,2,1915383121375453184,极兔快递,JT0016255798488,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-24 20:30:42,,1,0.38,0,6.00,0.00,2.80,6-3.2,2,1915382866768617472,极兔快递,JT0016257202007,生活用品,福建省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-24 20:28:42,,1,0.24,0,6.00,0.00,2.80,6-3.2,2,1915382365310214144,极兔快递,JT0016260055956,服饰,湖北省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-24 08:51:28,,1,0.29,0,6.00,0.00,2.80,6-3.2,2,1915206897630105600,极兔快递,JT0016245808983,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-23 21:56:37,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1915042101542703104,极兔快递,JT0016238536975,生活用品,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-23 21:54:29,,1,0.35,0,6.00,0.00,2.80,6-3.2,2,1915041566169157632,极兔快递,JT0016243903026,生活用品,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-23 21:50:33,,1,0.27,0,6.00,0.00,2.80,6-3.2,2,1915040567299854336,极兔快递,JT0016241168731,服饰,河南省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-23 21:44:48,,1,0.34,0,6.00,0.00,2.80,6-3.2,2,1915039114795601920,极兔快递,JT0016238635514,服饰,河南省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-23 21:44:19,,1,0.4,0,6.00,0.00,2.80,6-3.2,2,1915038993160785920,极兔快递,JT0016242117448,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-23 21:43:48,,1,0.52,0,6.00,0.00,2.80,6-3.2,2,1915038871932817408,极兔快递,JT0016232020492,服饰,重庆市,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:34:55,2025-04-23 01:32:09,2,,,8.00,,0.00,,2,1914674247811125248,极兔快递,JT0016215248511,服饰,广东省,已全额退款
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:38:41,2025-04-23 01:31:34,1,,,6.00,,0.00,,2,1914675197498019840,极兔快递,JT0016227959531,服饰,江苏省,已全额退款
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:56:19,,1,0.3,0,6.00,0.00,2.80,6-3.2,2,1914679638632615936,极兔快递,JT0016226610945,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:52:04,,1,0.24,0,6.00,0.00,2.80,6-3.2,2,1914678563858993152,极兔快递,JT0016227298516,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:51:31,,1,0.33,0,6.00,0.00,2.80,6-3.2,2,1914678421844054016,极兔快递,JT0016210711604,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:50:58,,1,0.49,0,6.00,0.00,2.80,6-3.2,2,1914678282198896640,极兔快递,JT0016225488213,服饰,江苏省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:50:28,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1914678163110023168,极兔快递,JT0016228075258,服饰,湖北省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:47:46,,1,0.6,0,6.00,0.00,2.80,6-3.2,2,1914677459549081600,极兔快递,JT0016227363078,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:44:38,,2,1.52,0,8.00,0.00,4.08,51% ,2,1914676696382885888,极兔快递,JT0016226380006,服饰,江苏省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:35:25,,1,0.47,0,6.00,0.00,2.80,6-3.2,2,1914674376119078912,极兔快递,JT0016224872503,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:28:35,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1914672651668738048,极兔快递,JT0016228071346,生活用品,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:28:03,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1914672513688719360,极兔快递,JT0016227904303,服饰,河南省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:27:24,,1,0.31,0,6.00,0.00,2.80,6-3.2,2,1914672356230352896,极兔快递,JT0016227288093,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:25:15,,1,0.65,0,6.00,0.00,2.80,6-3.2,2,1914671812409479168,极兔快递,JT0016225770584,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:22:16,,2,1.07,0,8.00,0.00,4.08,51% ,2,1914671048962265088,极兔快递,JT0016226322708,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-22 21:21:39,,1,0.3,0,6.00,0.00,2.80,6-3.2,2,1914670914392215552,极兔快递,JT0016223967228,服饰,安徽省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-21 19:27:22,,1,0.42,0,6.00,0.00,2.52,42% ,2,1914279762019143680,韵达快递,312719348767048,服饰,四川省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-21 19:26:46,,1,,,6.00,,2.80,6-3.2,2,1914279614534832128,极兔快递,JT0016204550351,服饰,四川省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-21 19:24:51,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1914279129320968192,极兔快递,JT0016204444052,服饰,江苏省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-21 19:22:38,,1,0.38,0,6.00,0.00,2.80,6-3.2,2,1914278574137724928,极兔快递,JT0016207960075,服饰,江苏省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-20 19:45:46,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1913922011716591616,极兔快递,JT0016185077244,食品,福建省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-20 19:39:19,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1913920378572054528,极兔快递,JT0016188604983,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-20 19:38:37,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1913920200565792768,极兔快递,JT0016192328817,服饰,广东省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-20 19:37:33,,1,0.21,0,6.00,0.00,2.80,6-3.2,2,1913919939638140928,极兔快递,JT0016187985665,服饰,江苏省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-20 19:35:46,,1,0.52,0,6.00,0.00,2.80,6-3.2,2,1913919494324690944,极兔快递,JT0016193133476,服饰,浙江省,
御湖台小区_站点-御湖台小区,御湖台小区,御湖台小区,快递,2025-04-20 19:32:59,,1,0.2,0,6.00,0.00,2.80,6-3.2,2,1913918784388407296,极兔快递,JT0016192229178,服饰,广东省,
