姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
慧泽小学智慧社区服务站_站点,合计金额:,4364.89,快递金额:, 4364.89,干洗金额:, 0,,,,,,,,,,,,,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 21:12:50,,1,,,6.00,,2.80,6-3.2,2,1917567807229059072,极兔快递,JT0016363148624,服饰,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 21:11:27,,1,,,6.00,,2.80,6-3.2,2,1917567435227848704,极兔快递,JT0016360249338,鞋子,浙江省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 20:56:05,,1,,,6.00,,2.52,42% ,2,1917563591206952960,韵达快递,312730785319754,裤子,辽宁省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 20:54:20,,1,,,6.00,,2.52,42% ,2,1917563150544986112,韵达快递,312730785101212,上衣,辽宁省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 20:48:46,,1,,,6.00,,2.80,6-3.2,2,1917561743712509952,极兔快递,JT0016360771717,裤子,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 20:47:43,,2,,,8.00,,4.08,51% ,2,1917561464740962304,极兔快递,JT0016361944536,鞋子,浙江省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 20:36:47,,1,,,6.00,,2.80,6-3.2,2,1917558312268521472,极兔快递,JT0016359567901,册子,河南省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 20:29:13,,1,,,6.00,,2.80,6-3.2,2,1917556820971151360,极兔快递,JT0016360419527,夹板,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 20:28:18,,1,,,6.00,,2.80,6-3.2,2,1917556577164648448,极兔快递,JT0016347149517,服饰,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 20:17:19,,1,,,6.00,,2.80,6-3.2,2,1917553834786086912,极兔快递,JT0016361696137,自粘锁,浙江省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 20:15:59,,1,,,6.00,,2.80,6-3.2,2,1917553446116712448,极兔快递,JT0016363617400,服饰,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 20:09:39,,1,,,6.00,,2.80,6-3.2,2,1917551882706673664,极兔快递,JT0016358720741,茶具,福建省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 19:56:54,,1,,,6.00,,2.80,6-3.2,2,1917548665457401856,极兔快递,JT0016354217471,服饰白色,浙江省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 19:28:36,,1,,,6.00,,2.80,6-3.2,2,1917541560650358784,极兔快递,JT0016362715317,服饰,河北省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 19:12:27,,1,,,6.00,,2.80,6-3.2,2,1917537487989563392,极兔快递,JT0016359794327,白色裤子,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 18:39:51,,1,,,6.00,,2.80,6-3.2,2,1917529297721810944,极兔快递,JT0016360364301,上衣,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 18:37:07,,1,,,6.00,,2.80,6-3.2,2,1917528616810110976,极兔快递,JT0016359439018,服饰,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 18:35:57,,1,,,6.00,,2.80,6-3.2,2,1917528321644355584,极兔快递,JT0016359041361,裤子,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 18:34:10,,1,,,6.00,,2.80,6-3.2,2,1917527865341829120,极兔快递,JT0016358953549,服饰,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 18:32:43,,1,,,6.00,,2.80,6-3.2,2,1917527463116464128,极兔快递,JT0016361813718,服饰,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 18:31:45,,1,,,6.00,,2.80,6-3.2,2,1917527243896971264,极兔快递,JT0016360036798,服饰,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 18:15:16,,1,,,6.00,,2.80,6-3.2,2,1917523121286209536,极兔快递,JT0016357642320,鞋子,福建省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 18:13:55,,1,,,6.00,,2.80,6-3.2,2,1917522778615767040,极兔快递,JT0016357263103,鞋子,福建省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 18:06:52,,1,,,6.00,,2.80,6-3.2,2,1917520991355723776,极兔快递,JT0016361363091,服饰,江苏省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 18:01:49,,1,,,6.00,,2.80,6-3.2,2,1917519726747901952,极兔快递,JT0016361160952,裤子,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 18:01:01,,1,,,6.00,,2.80,6-3.2,2,1917519533478567936,极兔快递,JT0016361654707,服饰,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 17:59:12,,1,,,6.00,,2.80,6-3.2,2,1917519075183747072,极兔快递,JT0016359957156,服饰,浙江省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 17:58:05,,1,,,6.00,,2.80,6-3.2,2,1917518726611918848,极兔快递,JT0016361232095,耳针,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 17:56:23,,1,,,6.00,,2.80,6-3.2,2,1917518366623195136,极兔快递,JT0016357340642,护肤品,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 17:38:40,,2,,,8.00,,4.08,51% ,2,1917513909101453312,极兔快递,JT0016359971204,生活用品,陕西省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 17:33:10,,1,,,6.00,,2.80,6-3.2,2,1917512524100329472,极兔快递,JT0016359271562,卡片,广东省,
慧泽小学智慧社区服务站_站点-慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,慧泽小学智慧社区服务站,快递,2025-04-30 17:32:16,,1,,,7.00,,2.80,6-3.2,2,1917512298178338816,极兔快递,JT0016359164886,卡片,北京市,
