姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
杜甫川快递_站点,合计金额:,925.10,快递金额:, 925.10,干洗金额:, 0,,,,,,,,,,,,,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 20:16:34,,0.5,,,6.00,,2.80,6-3.2,2,1917553623099564032,极兔快递,JT0016363141365,服饰,江苏省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 20:12:22,,0.7,,,6.00,,2.80,6-3.2,2,1917552585097404416,极兔快递,JT0016353362592,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 20:10:39,,0.5,,,6.00,,2.80,6-3.2,2,1917552089267757056,极兔快递,JT0016364086387,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 20:05:47,,0.5,,,6.00,,2.80,6-3.2,2,1917550925574889472,极兔快递,JT0016363320434,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 19:26:14,,2,,,8.00,,4.08,51% ,2,1917540968880201728,极兔快递,JT0016362870556,服饰,河南省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 18:50:37,,0.4,,,6.00,,2.80,6-3.2,2,1917531999797305344,极兔快递,JT0016362496878,生活用品,青海省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 18:49:44,,0.6,,,6.00,,2.80,6-3.2,2,1917531783086006272,极兔快递,JT0016360447994,生活用品,陕西省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 17:25:31,,0.6,,,6.00,,2.80,6-3.2,2,1917510583517503488,极兔快递,JT0016354865122,服饰,湖北省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 17:00:20,,0.8,,,6.00,,2.80,6-3.2,2,1917504243868950528,极兔快递,JT0016359691176,生活用品,浙江省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 16:58:26,,0.8,,,6.00,,2.80,6-3.2,2,1917503776082419712,极兔快递,JT0016358555907,生活用品,江苏省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 16:55:45,,0.8,,,7.00,,2.80,6-3.2,2,1917503077818884096,极兔快递,JT0016359905519,生活用品,上海市,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:55:57,,0.8,,,6.00,,2.80,6-3.2,2,1917427650786025472,极兔快递,JT0016348460043,服饰,广东省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:53:57,,0.8,,,6.00,,2.80,6-3.2,2,1917427151609323520,极兔快递,JT0016350465504,服饰,广东省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:52:44,,0.4,,,6.00,,2.80,6-3.2,2,1917426825594462208,极兔快递,JT0016352904159,服饰,河北省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:51:45,,0.5,,,6.00,,2.80,6-3.2,2,1917426599139794944,极兔快递,JT0016342990630,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:50:28,,0.5,,,6.00,,2.80,6-3.2,2,1917426273099767808,极兔快递,JT0016348391435,服饰,福建省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:48:46,,0.6,,,6.00,,2.80,6-3.2,2,1917425838154637312,极兔快递,JT0016346215017,服饰,福建省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:46:53,,0.5,,,6.00,,2.80,6-3.2,2,1917425371609620480,极兔快递,JT0016352306969,服饰,福建省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:45:04,,0.4,,,6.00,,2.80,6-3.2,2,1917424917525880832,极兔快递,JT0016344183040,服饰,福建省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:43:55,,0.8,,,6.00,,2.80,6-3.2,2,1917424625262583808,极兔快递,JT0016352303606,服饰,广东省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:42:26,,0.4,,,6.00,,2.80,6-3.2,2,1917424249813655552,极兔快递,JT0016351491912,服饰,广东省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:41:14,,0.4,,,6.00,,2.80,6-3.2,2,1917423937736466432,极兔快递,JT0016351467785,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:40:08,,0.4,,,6.00,,2.80,6-3.2,2,1917423672408989696,极兔快递,JT0016348249688,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 11:03:14,,1,,,6.00,,2.80,6-3.2,2,1917414385603371008,极兔快递,JT0016351254395,服饰,广东省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-30 10:52:43,,0.7,,,6.00,,2.80,6-3.2,2,1917411735172341760,极兔快递,JT0016350273337,服饰,广东省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-29 20:22:56,,0.4,0.59,0,6.00,0.00,2.80,6-3.2,2,1917192854302416896,极兔快递,JT0016344913801,服饰,浙江省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-29 19:53:12,,1.3,1.34,0,8.00,0.00,4.08,51% ,2,1917185367062929408,极兔快递,JT0016344354216,服饰,福建省,
杜甫川快递_站点-杜甫川快递,杜甫川快递,杜甫川快递,快递,2025-04-29 19:03:23,,0.4,0.24,0,6.00,0.00,2.52,42% ,2,1917172831043248128,韵达快递,312729451678928,服饰,浙江省,
