姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
玉佛苑_站点,合计金额:,5142.52,快递金额:, 4752.43,干洗金额:, 390.09,,,,,,,,,,,,,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 20:54:13,,0.5,,,6.00,,2.80,6-3.2,2,1917563111147888640,极兔快递,JT0016362306947,服饰,山东省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 20:53:15,,1,,,6.00,,2.80,6-3.2,2,1917562865344897024,极兔快递,JT0016363361059,服饰,浙江省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 20:52:34,,1,,,6.00,,2.80,6-3.2,2,1917562677612044288,极兔快递,JT0016363319334,服饰,安徽省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 20:30:01,,0.6,,,6.00,,2.80,6-3.2,2,1917557022478098432,极兔快递,JT0016360435089,服饰,浙江省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 20:29:22,,1,,,6.00,,2.80,6-3.2,2,1917556861249052672,极兔快递,JT0016362452306,服饰,广东省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 20:01:00,,1,,,6.00,,2.80,6-3.2,2,1917549726427570176,极兔快递,JT0016360162533,其他,陕西省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 19:48:32,,0.3,,,6.00,,2.80,6-3.2,2,1917546587519508480,极兔快递,JT0016361612449,饰品,浙江省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 19:22:58,,0.4,,,6.00,,2.80,6-3.2,2,1917540153784328192,极兔快递,JT0016361232023,服饰,广东省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 19:15:06,,0.3,,,6.00,,2.80,6-3.2,2,1917538172235735040,极兔快递,JT0016359475266,生活用品,广东省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 19:13:31,,0.3,,,6.00,,2.80,6-3.2,2,1917537772573089792,极兔快递,JT0016362561746,粉底,山东省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 19:12:14,,0.4,,,6.00,,2.80,6-3.2,2,1917537453369778176,极兔快递,JT0016357828914,牙膏,江西省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 19:10:40,,0.4,,,6.00,,2.80,6-3.2,2,1917537048007073792,极兔快递,JT0016361661189,牙膏,广东省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 19:09:22,,0.3,,,6.00,,2.80,6-3.2,2,1917536729680371712,极兔快递,JT0016362649690,防嗮,广东省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 18:54:59,,0.4,,,6.00,,2.80,6-3.2,2,1917533110868434944,极兔快递,JT0016362356058,服饰,广东省,
玉佛苑_站点-玉佛苑,玉佛苑,玉佛苑,快递,2025-04-30 18:52:55,,1,,,6.00,,2.80,6-3.2,2,1917532589138960384,极兔快递,JT0016362853045,夏凉被,山东省,
