姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
能源小区智慧社区服务站_站点,合计金额:,5090.18,快递金额:, 5049.20,干洗金额:, 40.98,,,,,,,,,,,,,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-28 10:29:51,2025-05-02 02:15:26,1,,,6.00,,0.00,,2,1916681208266022912,极兔快递,JT0016307049707,生活用品,江西省,已全额退款
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:31:13,,1,,,6.00,,2.80,6-3.2,2,1917557272949350400,极兔快递,JT0016360671113,服饰,浙江省,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:27:51,,1,,,6.00,,2.80,6-3.2,2,1917556478778859520,极兔快递,JT0016363235686,服饰,广东省,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:27:13,,1,,,6.00,,2.80,6-3.2,2,1917556324751433728,极兔快递,JT0016363459198,服饰,广东省,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:22:53,,1,,,6.00,,2.80,6-3.2,2,1917555215626461184,极兔快递,JT0016352299583,服饰,广东省,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:22:08,,1,,,6.00,,2.80,6-3.2,2,1917555038115127296,极兔快递,JT0016355570415,生活用品,浙江省,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:21:27,,1,,,6.00,,2.80,6-3.2,2,1917554869705433088,极兔快递,JT0016363595190,服饰,福建省,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:20:48,,1,,,6.00,,2.80,6-3.2,2,1917554701874552832,极兔快递,JT0016363810699,服饰,广东省,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:20:18,,1,,,6.00,,2.80,6-3.2,2,1917554583368687616,极兔快递,JT0016361773548,服饰,广东省,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:15:57,,1,,,6.00,,2.80,6-3.2,2,1917553482988838912,极兔快递,JT0016360511813,服饰,黑龙江省,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:15:14,,1,,,6.00,,2.80,6-3.2,2,1917553299613868032,极兔快递,JT0016357490291,生活用品,广东省,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:14:15,,1,,,6.00,,2.80,6-3.2,2,1917553058865012736,极兔快递,JT0016361339558,服饰,广东省,
能源小区智慧社区服务站_站点-能源小区智慧社区服务站,能源小区智慧社区服务站,能源小区智慧社区服务站,快递,2025-04-30 20:06:23,,1,,,6.00,,2.80,6-3.2,2,1917551078864117760,极兔快递,JT0016363646998,服饰,浙江省,
