姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
花溪湾智慧社区服务站_站点,合计金额:,406.32,快递金额:, 402.48,干洗金额:, 3.84,,,,,,,,,,,,,
花溪湾智慧社区服务站_站点-花溪湾智慧社区服务站,花溪湾智慧社区服务站,花溪湾智慧社区服务站,快递,2025-04-30 21:26:46,,0.55,,,6.00,,2.80,6-3.2,2,1917571301558247424,极兔快递,JT0016363673900,鞋,福建省,
花溪湾智慧社区服务站_站点-花溪湾智慧社区服务站,花溪湾智慧社区服务站,花溪湾智慧社区服务站,快递,2025-04-30 21:19:22,,0.19,,,6.00,,2.80,6-3.2,2,1917569439446654976,极兔快递,JT0016362996762,服饰,广东省,
花溪湾智慧社区服务站_站点-花溪湾智慧社区服务站,花溪湾智慧社区服务站,花溪湾智慧社区服务站,快递,2025-04-30 21:16:51,,0.29,,,6.00,,2.80,6-3.2,2,1917568808002576384,极兔快递,JT0016363346046,服饰,辽宁省,
花溪湾智慧社区服务站_站点-花溪湾智慧社区服务站,花溪湾智慧社区服务站,花溪湾智慧社区服务站,快递,2025-04-30 21:14:05,,0.22,,,6.00,,2.80,6-3.2,2,1917568112675053568,极兔快递,JT0016363780620,服饰,湖北省,
花溪湾智慧社区服务站_站点-花溪湾智慧社区服务站,花溪湾智慧社区服务站,花溪湾智慧社区服务站,快递,2025-04-30 16:02:59,,0.7,,,6.00,,2.80,6-3.2,2,1917489820550881280,极兔快递,JT0016357874885,服饰,山东省,
花溪湾智慧社区服务站_站点-花溪湾智慧社区服务站,花溪湾智慧社区服务站,花溪湾智慧社区服务站,快递,2025-04-29 20:03:00,,0.1,0.2,0,6.00,0.00,2.80,6-3.2,2,1917187837449265152,极兔快递,JT0016343510075,黑色蕾丝,江苏省,
花溪湾智慧社区服务站_站点-花溪湾智慧社区服务站,花溪湾智慧社区服务站,花溪湾智慧社区服务站,快递,2025-04-29 19:59:51,,0.3,0.32,0,6.00,0.00,2.80,6-3.2,2,1917186976941662208,极兔快递,JT0016343835346,黑色,广东省,
花溪湾智慧社区服务站_站点-花溪湾智慧社区服务站,花溪湾智慧社区服务站,花溪湾智慧社区服务站,快递,2025-04-29 17:04:57,,0.37,0.36,0,6.00,0.00,2.80,6-3.2,2,1917143029141790720,极兔快递,JT0016341846380,服饰,广东省,
花溪湾智慧社区服务站_站点-花溪湾智慧社区服务站,花溪湾智慧社区服务站,花溪湾智慧社区服务站,快递,2025-04-29 16:55:48,,0.1,0.2,0,6.00,0.00,2.80,6-3.2,2,1917140724401102848,极兔快递,JT0016339496901,挂钩两个,广东省,
