姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
郝悦_站点,合计金额:,4282.03,快递金额:, 3743.80,干洗金额:, 538.23,,,,,,,,,,,,,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 19:56:31,,1,,,6.00,,2.80,6-3.2,1,1917548592757530624,极兔快递,JT0016361403805,服饰,广东省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 19:55:06,,1,,,6.00,,2.80,6-3.2,1,1917548233565724672,极兔快递,JT0016360914444,服饰,江苏省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 19:31:36,,1,,,6.00,,2.80,6-3.2,1,1917542321241251840,极兔快递,JT0016362126229,服饰2件,吉林省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 19:20:12,,1,,,6.00,,2.52,42% ,1,1917539390622326784,韵达快递,312730734319097,生活用品,湖南省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 19:19:04,,1,,,6.00,,2.52,42% ,1,1917539170673025024,韵达快递,312730733889844,生活用品,湖南省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 19:17:57,,1,,,6.00,,2.52,42% ,1,1917538768816758784,韵达快递,312730733765334,生活用品,湖南省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 19:15:59,,1,,,6.00,,2.80,6-3.2,1,1917538397507608576,极兔快递,JT0016357832549,生活用品,湖南省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 19:11:35,,1,,,6.00,,2.80,6-3.2,1,1917537282669993984,极兔快递,JT0016362013605,生活用品,湖南省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 18:52:25,,1,,,7.00,,2.80,6-3.2,1,1917532459472052224,极兔快递,JT0016358454254,生活用品,上海市,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 18:39:59,,1,,,6.00,,2.80,6-3.2,1,1917529328923238400,极兔快递,JT0016361976365,服饰,广东省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 18:38:56,,1,,,6.00,,2.80,6-3.2,1,1917529074500952064,极兔快递,JT0016361375878,生活用品,广东省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 18:37:41,,1,,,6.00,,2.80,6-3.2,1,1917528756623040512,极兔快递,JT0016352350576,生活用品,广东省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 18:18:25,,1,,,6.00,,2.80,6-3.2,1,1917523904949968896,极兔快递,JT0016359056917,生活用品,江苏省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 18:05:17,,1,,,6.00,,2.80,6-3.2,1,1917520597175033856,极兔快递,JT0016358950442,服饰,湖北省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 17:21:59,,2,,,7.00,,3.01,43% ,1,1917509706362707968,极兔快递,JT0016359661945,服饰包包,广东省,
郝悦_站点-兴延小区,兴延小区,兴延小区,快递,2025-04-30 15:40:15,,1,,,6.00,,2.80,6-3.2,1,1917484104767299584,极兔快递,JT0016355034273,生活用品,山东省,
