姓名,付款人,用户(下单人),订单类型,日期,退款日期,打单重量,结算重量,重量差,金额,超重金额,团长利润,利润公式,价格方案,订单号,快递公司,物流单号,邮寄物品,发往,说明
香庭花园_站点,合计金额:,648.29,快递金额:, 626.09,干洗金额:, 22.20,,,,,,,,,,,,,
香庭花园_站点-香庭花园,香庭花园,香庭花园,快递,2025-04-29 21:47:44,,3,0.71,2,8.00,0.00,3.60,45% ,1,1917214197408391168,极兔快递,JT0016343553082,服饰,四川省,
香庭花园_站点-香庭花园,香庭花园,香庭花园,快递,2025-04-29 21:46:27,,1,0.2,0,6.00,0.00,2.80,6-3.2,1,1917213876367974400,极兔快递,JT0016344033013,生活用品,广东省,
香庭花园_站点-香庭花园,香庭花园,香庭花园,快递,2025-04-29 21:44:37,,1,0.91,0,6.00,0.00,2.80,6-3.2,1,1917213291975598080,极兔快递,JT0016345735092,服饰,四川省,
香庭花园_站点-香庭花园,香庭花园,香庭花园,快递,2025-04-29 21:42:40,,1,0.44,0,6.00,0.00,2.80,6-3.2,1,1917212913389330432,极兔快递,JT0016345645355,服饰,浙江省,
香庭花园_站点-香庭花园,香庭花园,香庭花园,快递,2025-04-29 21:41:39,,1,0.33,0,6.00,0.00,2.80,6-3.2,1,1917212665413689344,极兔快递,JT0016335956213,服饰,广东省,
香庭花园_站点-香庭花园,香庭花园,香庭花园,快递,2025-04-29 21:40:01,,1,1.0,0,6.00,0.00,2.80,6-3.2,1,1917212255110094848,极兔快递,JT0016343420616,服饰,广东省,
香庭花园_站点-香庭花园,香庭花园,香庭花园,快递,2025-04-29 21:37:22,,1,0.32,0,6.00,0.00,2.80,6-3.2,1,1917211582708637696,极兔快递,JT0016341555324,服饰,浙江省,
香庭花园_站点-香庭花园,香庭花园,香庭花园,快递,2025-04-29 21:36:23,,1,0.32,0,6.00,0.00,2.80,6-3.2,1,1917211338826637312,极兔快递,JT0016335277694,服饰,浙江省,
香庭花园_站点-香庭花园,香庭花园,香庭花园,快递,2025-04-29 21:33:27,,1,0.39,0,6.00,0.00,2.80,6-3.2,1,1917210601216335872,极兔快递,JT0016344325334,服饰,安徽省,
